0.22umF_waterF,,R_waterF,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
549.9910278,0.09989926219,549.9910278,0.2218901962,
545.0062866,0.09955895692,545.0062866,0.2222836614,
540.015686,0.09952907264,540.015686,0.2230294049,
534.9817505,0.09972847253,534.9817505,0.2241553813,
530.017334,0.1012252718,530.017334,0.2269530743,
525.0096436,0.1042706147,525.0096436,0.2293298244,
519.9963989,0.1077090576,519.9963989,0.2351141423,
515.0152588,0.1116956472,515.0152588,0.2380948663,
509.9909973,0.1150987968,509.9909973,0.2429241538,
504.9991455,0.1178676561,504.9991455,0.2468885481,
500.0019836,0.1201444343,500.0019836,0.2495178431,
494.9995422,0.121812053,494.9995422,0.252127856,
489.9919128,0.1224817038,489.9919128,0.2534435689,
485.0171204,0.1225572079,485.0171204,0.2554424405,
479.9992981,0.1231683344,479.9992981,0.2554783523,
475.0145569,0.1239620745,475.0145569,0.2573609352,
469.9867249,0.1263020635,469.9867249,0.2604700327,
464.9920959,0.1294042766,464.9920959,0.2644690275,
459.9926758,0.1323820055,459.9926758,0.26789096,
454.9885254,0.135855794,454.9885254,0.2721622884,
450.0178833,0.137910381,450.0178833,0.2749751806,
445.004425,0.1396032423,445.004425,0.2787930667,
439.9863586,0.1413990557,439.9863586,0.2806818187,
435.0020447,0.1417116523,435.0020447,0.2816692591,
430.0133362,0.1429864019,430.0133362,0.2833571732,
424.9818726,0.1441641152,424.9818726,0.2872159481,
419.984375,0.1453414559,419.984375,0.2886228561,
414.9826355,0.1468823999,414.9826355,0.2906524539,
410.0152588,0.1480718106,410.0152588,0.2915847301,
405.005127,0.1490098983,405.005127,0.2934165001,
399.9909363,0.1500012577,399.9909363,0.2965490222,
395.0112305,0.1514861435,395.0112305,0.2982844114,
389.9889832,0.1534342766,389.9889832,0.3006342649,
385.0013733,0.1554760933,385.0013733,0.3042970896,
380.0099182,0.1593591422,380.0099182,0.3086748719,
375.0147095,0.1633551866,375.0147095,0.3147397041,
370.015686,0.16875799,370.015686,0.3198348284,
365.0129395,0.1742404103,365.0129395,0.326866895,
360.0065613,0.1786501408,360.0065613,0.3316274881,
354.9965515,0.1827434003,354.9965515,0.3368706405,
349.9830322,0.1869301796,349.9830322,0.3411718309,
345.0048523,0.1908780485,345.0048523,0.346657306,
339.9843445,0.1949450225,339.9843445,0.3526750207,
334.9994202,0.1993084252,334.9994202,0.3588630855,
330.0111389,0.2044120729,330.0111389,0.3636054993,
324.9806519,0.2092891335,324.9806519,0.369628191,
319.9859009,0.2150249779,319.9859009,0.3772062957,
314.9879761,0.2218982577,314.9879761,0.3848778605,
309.986969,0.2286839783,309.986969,0.3945901692,
304.9828491,0.236871019,304.9828491,0.4030371904,
300.0148926,0.2448275834,300.0148926,0.4132594764,
295.0048828,0.2539952099,295.0048828,0.4227402806,
289.9919434,0.26358217,289.9919434,0.4343133271,
285.0153198,0.2751517296,285.0153198,0.4476385117,
279.9967346,0.287452817,279.9967346,0.4624328613,
275.0146179,0.2994664013,275.0146179,0.4768971503,
269.9905701,0.3127496541,269.9905701,0.4907482266,
265.0031128,0.3240245581,265.0031128,0.5022004247,
260.0131226,0.3364340365,260.0131226,0.5143693686,
254.9812469,0.348322928,254.9812469,0.5279704332,
249.9861755,0.3610198796,249.9861755,0.543271184,
244.988739,0.3744739294,244.988739,0.5592996478,
239.9888458,0.3895154893,239.9888458,0.5753630996,
234.9866943,0.4078910053,234.9866943,0.593978107,
229.982193,0.4328001142,229.982193,0.6191397309,
225.0149536,0.4641617537,225.0149536,0.651863277,
220.006073,0.5012401938,220.006073,0.6924421191,
214.9950409,0.5435932279,214.9950409,0.7388945222,
209.9819336,0.5932071209,209.9819336,0.791269362,
205.0063019,0.6596713066,205.0063019,0.8583672643,
199.9891663,0.7828236222,199.9891663,0.9841985703,

0.22umF_waterF,
0.22umF_waterF
Collection Time: 6/7/2023 2:00:52 PM
Operator Name  :
Scan Version 5.0.0.999
Parameter List :
Instrument  Cary 60
Instrument Version  2.00
Start (nm)  800.0
Stop (nm)  200.0
X Mode  Nanometers
Y Mode  Abs
UV-Vis Scan Rate (nm/min)  24000.000
UV-Vis Data Interval (nm)  5.00
UV-Vis Ave. Time (sec)  0.0125
Beam Mode  Dual Beam
Baseline Correction  Off
Cycle Mode  Off
Method Log     :
Method Name    :
Date/Time stamp: 6/7/2023 1:58:30 PM
Method Modifications: None
<SBW (nm)> , 1.00
<Energy> , 100.00
<Current Wavelength> , 225.0

R_waterF,
R_waterF
Collection Time: 6/7/2023 2:02:05 PM
Operator Name  :
Scan Version 5.0.0.999
Parameter List :
Instrument  Cary 60
Instrument Version  2.00
Start (nm)  800.0
Stop (nm)  200.0
X Mode  Nanometers
Y Mode  Abs
UV-Vis Scan Rate (nm/min)  24000.000
UV-Vis Data Interval (nm)  5.00
UV-Vis Ave. Time (sec)  0.0125
Beam Mode  Dual Beam
Baseline Correction  Off
Cycle Mode  Off
Method Log     :
Method Name    :
Date/Time stamp: 6/7/2023 1:58:30 PM
Method Modifications: None
<SBW (nm)> , 1.00
<Energy> , 100.00
<Current Wavelength> , 292.5

