0.22umF_san_pedro_creek_5242023,,0.22umF_san_pedro_creek_5242023-oq,,R_san_pedro_creek_5242023,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
345.0048523,0.03952080756,345.0048523,0.03595459089,345.0048523,0.1489592344,
339.9843445,0.04063807055,339.9843445,0.03672337532,339.9843445,0.1529248357,
334.9994202,0.04186506569,334.9994202,0.03744636849,334.9994202,0.1547217667,
330.0111389,0.04267246649,330.0111389,0.03842578456,330.0111389,0.1560780853,
324.9806519,0.04307832941,324.9806519,0.03912233189,324.9806519,0.1570738554,
319.9859009,0.04426277429,319.9859009,0.040250808,319.9859009,0.1601708233,
314.9879761,0.04590976611,314.9879761,0.04198483378,314.9879761,0.1606914699,
309.986969,0.04730689153,309.986969,0.04346025363,309.986969,0.1672675312,
304.9828491,0.04894321039,304.9828491,0.04531648383,304.9828491,0.170031473,
300.0148926,0.05043177307,300.0148926,0.04687704518,300.0148926,0.1737760752,
295.0048828,0.05155738443,295.0048828,0.04815288261,295.0048828,0.1731354594,
289.9919434,0.0528745763,289.9919434,0.04975642636,289.9919434,0.1779437959,
285.0153198,0.0550417304,285.0153198,0.05137104541,285.0153198,0.1801198125,
279.9967346,0.05719087273,279.9967346,0.05386530235,279.9967346,0.1860364825,
275.0146179,0.06036365032,275.0146179,0.05638717487,275.0146179,0.1923763901,
269.9905701,0.06310348958,269.9905701,0.0594945401,269.9905701,0.1959658563,
265.0031128,0.06744658202,265.0031128,0.06289579719,265.0031128,0.202651158,
260.0131226,0.07109969854,260.0131226,0.06658414006,260.0131226,0.202142626,
254.9812469,0.07622832805,254.9812469,0.07086894661,254.9812469,0.2155200839,
249.9861755,0.08259630948,249.9861755,0.07721537352,249.9861755,0.2269997448,
244.988739,0.08868625015,244.988739,0.08293651789,244.988739,0.2355876863,
239.9888458,0.09543291479,239.9888458,0.08902156353,239.9888458,0.2404986322,
234.9866943,0.1066102609,234.9866943,0.1004955098,234.9866943,0.2572651505,
229.982193,0.1297665536,229.982193,0.1234240457,229.982193,0.2843099535,
225.0149536,0.1679328978,225.0149536,0.1630007327,225.0149536,0.3219430745,
220.006073,0.2346705347,220.006073,0.2290936559,220.006073,0.3977139592,
214.9950409,0.3091620505,214.9950409,0.3050303161,214.9950409,0.4830236137,
209.9819336,0.383690685,209.9819336,0.383055687,209.9819336,0.5677193403,
205.0063019,0.4660071433,205.0063019,0.4657941163,205.0063019,0.6563003063,
199.9891663,0.6044675112,199.9891663,0.6063464284,199.9891663,0.7971464992,

0.22umF_san_pedro_creek_5242023,
0.22umF_san_pedro_creek_5242023
Collection Time: 5/24/2023 1:20:21 PM
Operator Name  :
Scan Version 5.0.0.999
Parameter List :
Instrument  Cary 60
Instrument Version  2.00
Start (nm)  800.0
Stop (nm)  200.0
X Mode  Nanometers
Y Mode  Abs
UV-Vis Scan Rate (nm/min)  24000.000
UV-Vis Data Interval (nm)  5.00
UV-Vis Ave. Time (sec)  0.0125
Beam Mode  Dual Beam
Baseline Correction  Off
Cycle Mode  Off
Method Log     :
Method Name    :
Date/Time stamp: 5/24/2023 1:12:18 PM
Method Modifications: None
<SBW (nm)> , 1.00
<Energy> , 100.00
<Current Wavelength> , 241.8

0.22umF_san_pedro_creek_5242023-oq,
0.22umF_san_pedro_creek_5242023-oq
Collection Time: 5/24/2023 1:20:57 PM
Operator Name  :
Scan Version 5.0.0.999
Parameter List :
Instrument  Cary 60
Instrument Version  2.00
Start (nm)  800.0
Stop (nm)  200.0
X Mode  Nanometers
Y Mode  Abs
UV-Vis Scan Rate (nm/min)  24000.000
UV-Vis Data Interval (nm)  5.00
UV-Vis Ave. Time (sec)  0.0125
Beam Mode  Dual Beam
Baseline Correction  Off
Cycle Mode  Off
Method Log     :
Method Name    :
Date/Time stamp: 5/24/2023 1:12:18 PM
Method Modifications: None
<SBW (nm)> , 1.00
<Energy> , 100.00
<Current Wavelength> , 334.4

R_san_pedro_creek_5242023,
R_san_pedro_creek_5242023
Collection Time: 5/24/2023 1:21:48 PM
Operator Name  :
Scan Version 5.0.0.999
Parameter List :
Instrument  Cary 60
Instrument Version  2.00
Start (nm)  800.0
Stop (nm)  200.0
X Mode  Nanometers
Y Mode  Abs
UV-Vis Scan Rate (nm/min)  24000.000
UV-Vis Data Interval (nm)  5.00
UV-Vis Ave. Time (sec)  0.0125
Beam Mode  Dual Beam
Baseline Correction  Off
Cycle Mode  Off
Method Log     :
Method Name    :
Date/Time stamp: 5/24/2023 1:12:18 PM
Method Modifications: None
<SBW (nm)> , 1.00
<Energy> , 100.00
<Current Wavelength> , 513.2

