0.22umF_waterG,,R_waterG,,0.22umF_waterG_nocondensation,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
640.017395,0.2640478611,640.017395,0.2309841216,640.017395,0.2272883803,
635.0015869,0.2654166818,635.0015869,0.2341223657,635.0015869,0.2281405479,
630.0151978,0.2663098872,630.0151978,0.2282284051,630.0151978,0.2290540338,
624.9850464,0.267006427,624.9850464,0.2305945009,624.9850464,0.2300143838,
619.9846802,0.2675306797,619.9846802,0.2325146198,619.9846802,0.2299200892,
615.0142212,0.2680012584,615.0142212,0.2327523381,615.0142212,0.2313375473,
610.0001221,0.2692420781,610.0001221,0.2336076349,610.0001221,0.231960848,
605.0161743,0.2692766786,605.0161743,0.2367930412,605.0161743,0.2324843705,
599.9885864,0.270562917,599.9885864,0.2429755181,599.9885864,0.2336454093,
594.991394,0.2701657712,594.991394,0.2391098589,594.991394,0.234460175,
589.9876099,0.2725619674,589.9876099,0.2439281046,589.9876099,0.2348204404,
585.0144653,0.2735061347,585.0144653,0.2411521524,585.0144653,0.2351395935,
579.9978638,0.2731281519,579.9978638,0.2379648238,579.9978638,0.2358246893,
575.012085,0.2719798088,575.012085,0.2409222275,575.012085,0.2362038791,
569.9828491,0.2726553679,569.9828491,0.2403769195,569.9828491,0.2366541475,
564.9846802,0.2735149562,564.9846802,0.2418817431,564.9846802,0.237978071,
560.0177002,0.2733753324,560.0177002,0.2431248277,560.0177002,0.237278387,
555.0073853,0.2732803226,555.0073853,0.2436215281,555.0073853,0.2374237478,
549.9910278,0.2743218839,549.9910278,0.2490071505,549.9910278,0.237103045,
545.0062866,0.2731672227,545.0062866,0.2413225472,545.0062866,0.2373209,
540.015686,0.2752093673,540.015686,0.2436534166,540.015686,0.2379413545,
534.9817505,0.2735445499,534.9817505,0.2425155342,534.9817505,0.238059476,
530.017334,0.2758024037,530.017334,0.2451348752,530.017334,0.2393107116,
525.0096436,0.2777401805,525.0096436,0.2493173629,525.0096436,0.2430619448,
519.9963989,0.2850548625,519.9963989,0.252869457,519.9963989,0.2470394522,
515.0152588,0.2878909111,515.0152588,0.2580701709,515.0152588,0.2515433133,
509.9909973,0.2898424566,509.9909973,0.2631078959,509.9909973,0.2554987073,
504.9991455,0.2940969765,504.9991455,0.2657115757,504.9991455,0.2584369481,
500.0019836,0.2967841923,500.0019836,0.2680372894,500.0019836,0.261045754,
494.9995422,0.2969818711,494.9995422,0.2701071501,494.9995422,0.2633035481,
489.9919128,0.2979058027,489.9919128,0.2723515332,489.9919128,0.2635323405,
485.0171204,0.2991374135,485.0171204,0.270476371,485.0171204,0.2637351155,
479.9992981,0.2992645502,479.9992981,0.2737647593,479.9992981,0.2647582889,
475.0145569,0.2998329699,475.0145569,0.2785404325,475.0145569,0.2662616074,
469.9867249,0.302020371,469.9867249,0.2790111005,469.9867249,0.2684642673,
464.9920959,0.3047964275,464.9920959,0.2823821604,464.9920959,0.2721664906,
459.9926758,0.3076111376,459.9926758,0.2861902714,459.9926758,0.2751122713,
454.9885254,0.3108467162,454.9885254,0.2885096669,454.9885254,0.2783980966,
450.0178833,0.3133977056,450.0178833,0.2914585173,450.0178833,0.2798293233,
445.004425,0.3149941266,445.004425,0.2939157486,445.004425,0.2820414007,
439.9863586,0.315820694,439.9863586,0.295519948,439.9863586,0.2838517725,
435.0020447,0.3182156086,435.0020447,0.297563076,435.0020447,0.2843940556,
430.0133362,0.3179719448,430.0133362,0.3016856909,430.0133362,0.2851333022,
424.9818726,0.318290174,424.9818726,0.3001183271,424.9818726,0.286026448,
419.984375,0.3221164048,419.984375,0.3010441065,419.984375,0.2868207991,
414.9826355,0.3196554184,414.9826355,0.3021571636,414.9826355,0.288369,
410.0152588,0.3199231923,410.0152588,0.3040459156,410.0152588,0.2892704606,
405.005127,0.3215003908,405.005127,0.3051693738,405.005127,0.2895469368,
399.9909363,0.321210742,399.9909363,0.3071721494,399.9909363,0.2888939381,
395.0112305,0.3213310838,395.0112305,0.3102355003,395.0112305,0.2906570137,
389.9889832,0.3226510286,389.9889832,0.3079924583,389.9889832,0.2913876176,
385.0013733,0.3234562874,385.0013733,0.3110894561,385.0013733,0.2924571931,
380.0099182,0.3258981109,380.0099182,0.3125240207,380.0099182,0.2947459817,
375.0147095,0.3286423981,375.0147095,0.3167783916,375.0147095,0.2970222533,
370.015686,0.3320517242,370.015686,0.320949018,370.015686,0.3019864857,
365.0129395,0.3362218738,365.0129395,0.3245817125,365.0129395,0.305272907,
360.0065613,0.3380690217,360.0065613,0.3283933997,360.0065613,0.3081221581,
354.9965515,0.3407042325,354.9965515,0.3341358006,354.9965515,0.3111227751,
349.9830322,0.3417890668,349.9830322,0.337099582,349.9830322,0.3116772473,
345.0048523,0.3428320885,345.0048523,0.3370519876,345.0048523,0.3139507771,
339.9843445,0.34476161,339.9843445,0.3409970403,339.9843445,0.3157806993,
334.9994202,0.3464514017,334.9994202,0.3456556201,334.9994202,0.3176254332,
330.0111389,0.3486084044,330.0111389,0.3457183242,330.0111389,0.3187814653,
324.9806519,0.3480863571,324.9806519,0.3490240574,324.9806519,0.3194386363,
319.9859009,0.3495610654,319.9859009,0.3516099155,319.9859009,0.3212118447,
314.9879761,0.3500468731,314.9879761,0.3501390815,314.9879761,0.3233101368,
309.986969,0.3532215059,309.986969,0.3609493971,309.986969,0.3245066106,
304.9828491,0.3548770547,304.9828491,0.3523000181,304.9828491,0.3266825974,
300.0148926,0.3562836051,300.0148926,0.3570508063,300.0148926,0.3295131028,
295.0048828,0.3569961786,295.0048828,0.3643352985,295.0048828,0.3298344016,
289.9919434,0.3601767123,289.9919434,0.3613181412,289.9919434,0.3317536414,
285.0153198,0.3619370759,285.0153198,0.3676351309,285.0153198,0.3343907893,
279.9967346,0.3651457429,279.9967346,0.3769672215,279.9967346,0.3377418518,
275.0146179,0.3677826822,275.0146179,0.3698816299,275.0146179,0.342230618,
269.9905701,0.3726038337,269.9905701,0.3805855215,269.9905701,0.3443443477,
265.0031128,0.3764518201,265.0031128,0.3797580898,265.0031128,0.3482589722,
260.0131226,0.378077209,260.0131226,0.3889338672,260.0131226,0.3531592488,
254.9812469,0.3856271505,254.9812469,0.3903312683,254.9812469,0.3585119545,
249.9861755,0.3919315338,249.9861755,0.3963384628,249.9861755,0.3646778464,
244.988739,0.3979529142,244.988739,0.4039319158,244.988739,0.3713464439,
239.9888458,0.4065432549,239.9888458,0.4134308398,239.9888458,0.3787520528,
234.9866943,0.411621511,234.9866943,0.4232937992,234.9866943,0.3851323426,
229.982193,0.4237321913,229.982193,0.4378275871,229.982193,0.3983613253,
225.0149536,0.4474617243,225.0149536,0.4691013992,225.0149536,0.4283290803,
220.006073,0.5348457098,220.006073,0.5566942096,220.006073,0.5133314133,
214.9950409,0.8471791744,214.9950409,0.8748400211,214.9950409,0.8269404173,
209.9819336,1.820672154,209.9819336,1.900455713,209.9819336,1.827310681,
205.0063019,3.102049112,205.0063019,3.346003294,205.0063019,3.16138339,
199.9891663,3.446327209,199.9891663,3.219996691,199.9891663,3.289348602,

0.22umF_waterG,
0.22umF_waterG
Collection Time: 6/13/2023 3:10:54 PM
Operator Name  :
Scan Version 5.0.0.999
Parameter List :
Instrument  Cary 60
Instrument Version  2.00
Start (nm)  800.0
Stop (nm)  200.0
X Mode  Nanometers
Y Mode  Abs
UV-Vis Scan Rate (nm/min)  24000.000
UV-Vis Data Interval (nm)  5.00
UV-Vis Ave. Time (sec)  0.0125
Beam Mode  Dual Beam
Baseline Correction  Off
Cycle Mode  Off
Method Log     :
Method Name    :
Date/Time stamp: 6/13/2023 3:09:16 PM
Method Modifications: None
<SBW (nm)> , 1.00
<Energy> , 100.00
<Current Wavelength> , 221.2

R_waterG,
R_waterG
Collection Time: 6/13/2023 3:11:52 PM
Operator Name  :
